SPEC,year,month,n
ACWO,1982,05,2
ACWO,1989,09,2
ACWO,1990,05,1
ACWO,1991,09,1
ACWO,1999,04,1
ACWO,2014,09,1
ACWO,2015,01,1
ACWO,2017,10,1
ACWO,2025,08,1
AGOL,2025,06,3
ALHU,1979,04,1
ALHU,1979,05,8
ALHU,1979,06,27
ALHU,1979,07,22
ALHU,1979,08,3
ALHU,1980,02,2
ALHU,1980,03,2
ALHU,1980,04,16
ALHU,1980,05,66
ALHU,1980,06,66
ALHU,1980,07,26
ALHU,1981,03,1
ALHU,1981,05,23
ALHU,1981,06,49
ALHU,1981,07,5
ALHU,1982,04,1
ALHU,1983,02,1
ALHU,1983,04,3
ALHU,1983,05,34
ALHU,1983,06,73
ALHU,1983,07,34
ALHU,1983,08,9
ALHU,1984,02,1
ALHU,1984,03,2
ALHU,1984,04,11
ALHU,1984,05,40
ALHU,1984,06,38
ALHU,1984,07,19
ALHU,1984,08,1
ALHU,1985,02,1
ALHU,1985,03,2
ALHU,1985,04,6
ALHU,1985,05,31
ALHU,1985,06,75
ALHU,1985,07,46
ALHU,1985,08,3
ALHU,1986,04,7
ALHU,1986,05,27
ALHU,1986,06,38
ALHU,1986,07,38
ALHU,1986,08,3
ALHU,1987,02,2
ALHU,1987,04,11
ALHU,1987,05,39
ALHU,1987,06,67
ALHU,1987,07,26
ALHU,1987,08,3
ALHU,1988,02,1
ALHU,1988,03,1
ALHU,1988,04,11
ALHU,1988,05,44
ALHU,1988,06,41
ALHU,1988,07,15
ALHU,1988,08,3
ALHU,1989,02,2
ALHU,1989,04,2
ALHU,1989,05,44
ALHU,1989,06,43
ALHU,1989,07,24
ALHU,1989,08,1
ALHU,1990,03,1
ALHU,1990,05,18
ALHU,1990,06,37
ALHU,1990,07,27
ALHU,1990,08,7
ALHU,1991,02,1
ALHU,1991,03,3
ALHU,1991,04,3
ALHU,1991,05,13
ALHU,1991,06,51
ALHU,1991,07,42
ALHU,1991,08,11
ALHU,1992,02,1
ALHU,1992,03,2
ALHU,1992,04,7
ALHU,1992,05,26
ALHU,1992,06,12
ALHU,1992,07,3
ALHU,1992,08,4
ALHU,1992,09,6
ALHU,1993,02,1
ALHU,1993,04,4
ALHU,1993,05,43
ALHU,1993,06,35
ALHU,1993,07,19
ALHU,1993,08,5
ALHU,1994,02,2
ALHU,1994,03,5
ALHU,1994,04,5
ALHU,1994,05,48
ALHU,1994,06,39
ALHU,1994,07,36
ALHU,1994,08,8
ALHU,1995,02,2
ALHU,1995,03,2
ALHU,1995,04,6
ALHU,1995,05,28
ALHU,1995,06,39
ALHU,1995,07,38
ALHU,1995,08,9
ALHU,1996,02,2
ALHU,1996,03,3
ALHU,1996,04,8
ALHU,1996,05,40
ALHU,1996,06,43
ALHU,1996,07,23
ALHU,1996,08,10
ALHU,1997,02,1
ALHU,1997,03,1
ALHU,1997,04,8
ALHU,1997,05,27
ALHU,1997,06,19
ALHU,1997,07,9
ALHU,1998,03,1
ALHU,1998,04,2
ALHU,1998,05,26
ALHU,1998,06,53
ALHU,1998,07,26
ALHU,1998,08,4
ALHU,1999,03,3
ALHU,1999,04,3
ALHU,1999,05,13
ALHU,1999,06,18
ALHU,1999,07,5
ALHU,1999,08,5
ALHU,2000,01,1
ALHU,2000,02,1
ALHU,2000,03,4
ALHU,2000,04,7
ALHU,2000,05,14
ALHU,2000,06,12
ALHU,2000,07,6
ALHU,2000,08,5
ALHU,2001,03,1
ALHU,2001,04,4
ALHU,2001,05,29
ALHU,2001,06,27
ALHU,2001,07,10
ALHU,2001,08,4
ALHU,2002,03,2
ALHU,2002,04,2
ALHU,2002,05,33
ALHU,2002,06,39
ALHU,2002,07,16
ALHU,2002,08,6
ALHU,2003,03,6
ALHU,2003,04,9
ALHU,2003,05,27
ALHU,2003,06,36
ALHU,2003,07,12
ALHU,2003,08,4
ALHU,2004,03,4
ALHU,2004,04,10
ALHU,2004,05,29
ALHU,2004,06,22
ALHU,2004,07,12
ALHU,2004,11,1
ALHU,2005,02,1
ALHU,2005,03,3
ALHU,2005,04,4
ALHU,2005,05,30
ALHU,2005,06,21
ALHU,2005,07,4
ALHU,2005,08,3
ALHU,2006,03,3
ALHU,2006,04,3
ALHU,2006,05,12
ALHU,2006,06,24
ALHU,2006,07,4
ALHU,2006,08,2
ALHU,2007,03,2
ALHU,2007,04,5
ALHU,2007,05,6
ALHU,2007,06,15
ALHU,2007,07,11
ALHU,2007,08,3
ALHU,2008,04,2
ALHU,2008,05,17
ALHU,2008,06,21
ALHU,2008,07,3
ALHU,2008,08,1
ALHU,2009,02,1
ALHU,2009,03,5
ALHU,2009,04,3
ALHU,2009,05,25
ALHU,2009,06,42
ALHU,2009,07,23
ALHU,2009,08,1
ALHU,2010,02,1
ALHU,2010,04,2
ALHU,2010,05,10
ALHU,2010,06,19
ALHU,2010,07,13
ALHU,2010,08,4
ALHU,2011,03,3
ALHU,2011,04,3
ALHU,2011,05,18
ALHU,2011,06,43
ALHU,2011,07,7
ALHU,2011,08,10
ALHU,2012,02,4
ALHU,2012,03,3
ALHU,2012,04,6
ALHU,2012,05,14
ALHU,2012,06,19
ALHU,2012,07,8
ALHU,2012,08,2
ALHU,2012,09,1
ALHU,2013,03,2
ALHU,2013,04,3
ALHU,2013,05,13
ALHU,2013,06,10
ALHU,2013,07,8
ALHU,2014,02,4
ALHU,2014,03,5
ALHU,2014,04,4
ALHU,2014,05,22
ALHU,2014,06,33
ALHU,2014,07,18
ALHU,2014,08,1
ALHU,2015,03,6
ALHU,2015,04,7
ALHU,2015,05,12
ALHU,2015,06,21
ALHU,2015,07,6
ALHU,2015,08,1
ALHU,2016,04,4
ALHU,2016,05,15
ALHU,2016,06,17
ALHU,2016,07,11
ALHU,2017,02,1
ALHU,2017,03,3
ALHU,2017,04,1
ALHU,2017,05,17
ALHU,2017,06,7
ALHU,2017,07,9
ALHU,2017,08,3
ALHU,2018,02,1
ALHU,2018,03,2
ALHU,2018,04,5
ALHU,2018,05,10
ALHU,2018,06,34
ALHU,2018,07,10
ALHU,2018,08,5
ALHU,2019,02,3
ALHU,2019,03,5
ALHU,2019,04,1
ALHU,2019,05,24
ALHU,2019,06,36
ALHU,2019,07,13
ALHU,2019,08,1
ALHU,2020,03,3
ALHU,2020,04,13
ALHU,2020,05,26
ALHU,2020,06,37
ALHU,2020,07,12
ALHU,2020,09,1
ALHU,2021,02,4
ALHU,2021,03,2
ALHU,2021,04,3
ALHU,2021,05,9
ALHU,2021,06,37
ALHU,2021,07,15
ALHU,2021,08,1
ALHU,2022,02,4
ALHU,2022,04,6
ALHU,2022,05,25
ALHU,2022,06,28
ALHU,2022,07,10
ALHU,2022,08,3
ALHU,2023,03,4
ALHU,2023,04,2
ALHU,2023,05,15
ALHU,2023,06,32
ALHU,2023,07,25
ALHU,2023,08,5
ALHU,2024,02,1
ALHU,2024,04,4
ALHU,2024,05,15
ALHU,2024,06,27
ALHU,2024,07,21
ALHU,2024,08,4
ALHU,2025,03,5
ALHU,2025,04,10
ALHU,2025,05,25
ALHU,2025,06,28
ALHU,2025,07,19
ALHU,2025,08,2
AMCR,2024,05,1
AMGO,1979,05,14
AMGO,1979,06,10
AMGO,1979,07,9
AMGO,1979,08,8
AMGO,1980,04,7
AMGO,1980,05,15
AMGO,1980,06,6
AMGO,1980,07,3
AMGO,1980,08,24
AMGO,1980,09,14
AMGO,1980,10,1
AMGO,1981,04,17
AMGO,1981,05,20
AMGO,1981,06,3
AMGO,1981,07,15
AMGO,1981,08,28
AMGO,1981,09,9
AMGO,1982,04,10
AMGO,1982,05,14
AMGO,1982,06,7
AMGO,1982,07,9
AMGO,1982,08,22
AMGO,1982,09,3
AMGO,1982,10,1
AMGO,1983,04,6
AMGO,1983,05,9
AMGO,1983,06,8
AMGO,1983,07,5
AMGO,1983,08,18
AMGO,1983,09,5
AMGO,1984,04,3
AMGO,1984,05,15
AMGO,1984,06,5
AMGO,1984,07,7
AMGO,1984,08,23
AMGO,1984,09,6
AMGO,1984,10,1
AMGO,1984,11,1
AMGO,1985,04,8
AMGO,1985,05,4
AMGO,1985,06,12
AMGO,1985,07,6
AMGO,1985,08,4
AMGO,1985,09,3
AMGO,1986,04,7
AMGO,1986,05,7
AMGO,1986,06,5
AMGO,1986,07,11
AMGO,1986,08,25
AMGO,1986,09,3
AMGO,1987,04,3
AMGO,1987,05,12
AMGO,1987,06,7
AMGO,1987,07,8
AMGO,1987,09,1
AMGO,1988,04,3
AMGO,1988,05,1
AMGO,1988,06,4
AMGO,1988,07,2
AMGO,1989,04,1
AMGO,1989,05,3
AMGO,1989,06,3
AMGO,1989,07,2
AMGO,1989,08,4
AMGO,1990,04,4
AMGO,1990,05,10
AMGO,1990,06,1
AMGO,1990,08,1
AMGO,1990,09,1
AMGO,1991,04,5
AMGO,1991,05,13
AMGO,1991,06,4
AMGO,1991,07,1
AMGO,1991,08,11
AMGO,1991,09,5
AMGO,1991,10,2
AMGO,1992,05,5
AMGO,1992,07,1
AMGO,1992,08,5
AMGO,1993,05,1
AMGO,1993,07,1
AMGO,1994,04,1
AMGO,1994,05,5
AMGO,1994,06,1
AMGO,1995,05,6
AMGO,1995,06,3
AMGO,1995,07,6
AMGO,1995,08,5
AMGO,1995,09,1
AMGO,1996,04,3
AMGO,1997,05,3
AMGO,1998,05,3
AMGO,1998,06,1
AMGO,1998,08,1
AMGO,1999,04,3
AMGO,1999,05,6
AMGO,1999,06,3
AMGO,1999,07,7
AMGO,2000,04,7
AMGO,2000,05,6
AMGO,2000,06,9
AMGO,2000,07,1
AMGO,2001,03,1
AMGO,2001,04,3
AMGO,2001,05,10
AMGO,2001,06,7
AMGO,2001,07,2
AMGO,2002,04,3
AMGO,2002,05,5
AMGO,2002,06,8
AMGO,2002,07,1
AMGO,2002,08,3
AMGO,2003,04,5
AMGO,2003,05,8
AMGO,2003,06,3
AMGO,2003,07,1
AMGO,2003,08,1
AMGO,2004,04,2
AMGO,2004,05,6
AMGO,2004,06,5
AMGO,2004,07,1
AMGO,2004,08,1
AMGO,2005,04,4
AMGO,2005,05,11
AMGO,2005,06,3
AMGO,2005,07,3
AMGO,2006,04,2
AMGO,2006,05,7
AMGO,2006,06,3
AMGO,2006,07,2
AMGO,2006,08,2
AMGO,2007,04,5
AMGO,2007,05,9
AMGO,2007,06,4
AMGO,2007,07,4
AMGO,2008,04,3
AMGO,2008,05,11
AMGO,2008,06,8
AMGO,2009,04,1
AMGO,2009,05,11
AMGO,2009,06,6
AMGO,2009,07,2
AMGO,2010,04,2
AMGO,2010,05,15
AMGO,2010,06,17
AMGO,2010,07,3
AMGO,2010,08,1
AMGO,2011,05,5
AMGO,2011,06,1
AMGO,2011,07,10
AMGO,2011,08,2
AMGO,2011,09,3
AMGO,2012,05,10
AMGO,2012,06,9
AMGO,2012,07,2
AMGO,2013,05,4
AMGO,2014,05,3
AMGO,2014,06,11
AMGO,2014,07,2
AMGO,2015,05,2
AMGO,2015,06,1
AMGO,2015,07,1
AMGO,2016,05,1
AMGO,2018,08,1
AMGO,2022,06,1
AMGO,2022,08,1
AMKE,1984,01,1
AMKE,1988,11,1
AMKE,2002,01,1
AMKE,2006,01,1
AMKE,2007,02,1
AMKE,2010,01,1
AMRE,1979,10,1
AMRE,1980,06,1
AMRE,1981,09,1
AMRE,1982,07,1
AMRE,1982,09,2
AMRE,1985,06,1
AMRE,1986,09,1
AMRE,1987,08,1
