year,month,nethours
1979,01,1929.99
1979,02,1601
1979,03,2456
1979,04,3475
1979,05,3552
1979,06,3106
1979,07,3540
1979,08,3500
1979,09,3050
1979,10,3460
1979,11,2660
1979,12,1578.99
1980,01,1440
1980,02,1340
1980,03,2140
1980,04,3220
1980,05,3350
1980,06,2837
1980,07,2688
1980,08,3082
1980,09,3410
1980,10,3468
1980,11,2990
1980,12,480
1981,01,1240
1981,02,1170
1981,03,1320
1981,04,3580
1981,05,3596
1981,06,3518.5
1981,07,3498
1981,08,3348
1981,09,3450
1981,10,3588
1981,11,2628
1981,12,1192
1982,01,1455
1982,02,1355
1982,03,1360
1982,04,3188
1982,05,3730
1982,06,3598
1982,07,3697.5
1982,08,3720
1982,09,3577
1982,10,3655
1982,11,2548
1982,12,1475
1983,01,1413
1983,02,1104
1983,03,1638.5
1983,04,2878
1983,05,3530
1983,06,3585.5
1983,07,3419
1983,08,3410
1983,09,3518
1983,10,3634
1983,11,2450
1983,12,1110
1984,01,1520
1984,02,1320
1984,03,1540
1984,04,3290
1984,05,3398
1984,06,3197.75
1984,07,3701
1984,08,3566
1984,09,3457
1984,10,3480
1984,11,2140
1984,12,1400
1985,01,1540
1985,02,1410
1985,03,1720
1985,04,3480
1985,05,3614
1985,06,3399
1985,07,3432.5
1985,08,3700
1985,09,3238
1985,10,3640
1985,11,2800
1985,12,1420
1986,01,2399.99
1986,02,1330
1986,03,1575
1986,04,2987
1986,05,3570
1986,06,3356
1986,07,3470
1986,08,3413
1986,09,3195
1986,10,3597
1986,11,3039
1986,12,1230
1987,01,1264
1987,02,1362
1987,03,1591
1987,04,3437
1987,05,3740.3
1987,06,3174
1987,07,3678
1987,08,3366
1987,09,3475
1987,10,3447
1987,11,2784
1987,12,1674
1988,01,1670
1988,02,1438
1988,03,1560
1988,04,3160
1988,05,3386
1988,06,3489
1988,07,3609
1988,08,3646.66
1988,09,3600
1988,10,3565
1988,11,1888.5
1988,12,1348
1989,01,1515
1989,02,1364
1989,03,1382.4
1989,04,1640
1989,05,3633
1989,06,3383
1989,07,3502
1989,08,3200.5
1989,09,3357.1
1989,10,3196.65
1989,11,2767.83
1989,12,1785
1990,01,1634.45
1990,02,1398.85
1990,03,1382.87
1990,04,2363.49
1990,05,3160.2
1990,06,3523.15
1990,07,3804.07
1990,08,3472.95
1990,09,3593.65
1990,10,3699.75
1990,11,2835.2
1990,12,1555.5
1991,01,1673
1991,02,1370
1991,03,1514.5
1991,04,1733.66
1991,05,3167.5
1991,06,3080.5
1991,07,3149.5
1991,08,3331.5
1991,09,3386.68
1991,10,3666
1991,11,3106.27
1991,12,1521.75
1992,01,1485.25
1992,02,1520
1992,03,1320
1992,04,1553.2
1992,05,3320
1992,06,2518
1992,07,3133.5
1992,08,3184.5
1992,09,3378.83
1992,10,3365.67
1992,11,2862.75
1992,12,1423.21
1993,01,1537.48
1993,02,1420.58
1993,03,1572.5
1993,04,1515.5
1993,05,2663
1993,06,2789.5
1993,07,2923.58
1993,08,2769
1993,09,3352.5
1993,10,3446.2
1993,11,2848.75
1993,12,1631.45
1994,01,1715
1994,02,1480
1994,03,2515.69
1994,04,1581
1994,05,2862.25
1994,06,3041.55
1994,07,3017.5
1994,08,3318.25
1994,09,3296.6
1994,10,3371.75
1994,11,2273.75
1994,12,3199.98
1995,01,685.25
1995,02,1438.5
1995,03,1512
1995,04,1674
1995,05,2316.5
1995,06,2548.5
1995,07,3314
1995,08,3169.2
1995,09,3417.5
1995,10,3431.1
1995,11,2616
1995,12,1335
1996,01,1555.5
1996,02,1599.75
1996,03,1628.6
1996,04,2450.4
1996,05,2846.25
1996,06,3073
1996,07,3075
1996,08,3178.5
1996,09,3071.1
1996,10,3126.95
1996,11,2510.25
1996,12,1252.33
1997,01,1561
1997,02,1292
1997,03,1548.5
1997,04,1525.5
1997,05,3019.75
1997,06,2296.61
1997,07,2995.3
1997,08,2915.3
1997,09,2795.5
1997,10,2869.65
1997,11,2533.76
1997,12,1278.4
1998,01,1093.9
1998,02,1024.9
1998,03,1384.9
1998,04,1467.55
1998,05,2078.8
1998,06,2826.9
1998,07,2759.65
1998,08,2910.05
1998,09,2809
1998,10,2883.55
1998,11,2306.61
1998,12,1720
1999,01,1604.21
1999,02,1289.29
1999,03,1445.15
1999,04,1289
1999,05,2450.44
1999,06,2934
1999,07,2976.15
1999,08,2750.8
1999,09,3102
1999,10,3298
1999,11,2526
1999,12,1509
2000,01,1498.1
2000,02,1250.1
2000,03,1825.5
2000,04,1643
2000,05,2824.5
2000,06,2701
2000,07,2980.5
2000,08,3032.75
2000,09,2878.05
2000,10,2692.5
2000,11,2957
2000,12,1662.25
2001,01,1183.5
2001,02,1312.5
2001,03,1511
2001,04,1444
2001,05,2901
2001,06,2791
2001,07,3100.5
2001,08,3135.5
2001,09,2879.5
2001,10,2916
2001,11,2272.5
2001,12,1235.5
2002,01,1411
2002,02,1421
2002,03,1517.83
2002,04,1739.17
2002,05,2996
2002,06,2883.42
2002,07,3177.5
2002,08,3198
2002,09,2931
2002,10,3140.5
2002,11,2745
2002,12,1811.25
2003,01,1456
2003,02,1409.5
2003,03,1686.5
2003,04,1462
2003,05,2975.25
2003,06,3160.25
2003,07,3039
2003,08,3009
2003,09,2843.25
2003,10,2906.75
2003,11,2629.5
2003,12,1594.3
2004,01,1922.75
2004,02,1467
2004,03,1597
2004,04,1257
2004,05,2571
2004,06,2258
2004,07,2602.5
2004,08,2952.16
2004,09,2911.66
2004,10,2657.83
2004,11,2458.49
2004,12,1666.5
2005,01,1155.99
2005,02,1379.5
2005,03,1719.16
2005,04,1492
2005,05,2990.5
2005,06,3104
2005,07,3044
2005,08,3019.8
2005,09,2946.25
2005,10,2786.6
2005,11,2260.66
2005,12,1115.66
2006,01,1661.31
2006,02,1326.55
2006,03,1251.51
2006,04,1368.91
2006,05,2919.5
2006,06,3023
2006,07,2722
2006,08,3102.5
2006,09,3058
2006,10,3094.5
2006,11,2426.53
2006,12,1451
2007,01,1829
2007,02,1360
2007,03,1642.82
2007,04,1377.5
2007,05,2599.95
2007,06,2967.5
2007,07,3144.5
2007,08,3391
2007,09,2936.17
2007,10,2759.49
2007,11,2758.5
2007,12,2719.49
2008,01,1277
2008,02,1353
2008,03,1925
2008,04,1611.85
2008,05,2855.5
2008,06,2866.5
2008,07,2962
2008,08,3319.75
2008,09,2984
2008,10,3053.5
2008,11,2480.9
2008,12,1752.5
2009,01,1582
2009,02,1129.4
2009,03,1536.22
2009,04,1515.66
2009,05,2948
2009,06,3231
2009,07,2983
2009,08,3061.35
2009,09,3147.6
2009,10,2923.51
2009,11,2531.95
2009,12,1959.23
2010,01,1627.96
2010,02,1423.34
2010,03,1694.75
2010,04,1508.58
2010,05,2555.16
2010,06,2728.75
2010,07,3317.5
2010,08,3082.83
2010,09,2766.34
2010,10,2558.84
2010,11,2341.94
2010,12,1192.51
2011,01,1494.83
2011,02,1587
2011,03,1529.1299999999999
2011,04,1435.37
2011,05,2414.39
2011,06,2785.02
2011,07,2645.83
2011,08,3149.17
2011,09,3165.68
2011,10,3249.02
2011,11,2535.21
